problems,equations
Ella has 27 balloons. She gets 13 more balloons. How many balloons does Ella have now?,27+13
A clothing store has 80 shirts. They order 20 more shirts. How many shirts does the store have now?,80+20
A sports team has 48 footballs. They buy 12 more footballs. How many footballs does the team have now?,48+12
Noah has 39 toy cars. He receives 10 more toy cars. How many toy cars does Noah have now?,39+10
Grace has 52 dolls. She buys 7 more dolls. How many dolls does Grace have now?,52+7
A shop has 24 bicycles. They order 6 more bicycles. How many bicycles does the shop have now?,24+6
Ethan has 12 comic books. He buys 5 more comic books. How many comic books does Ethan have now?,12+5
A classroom has 36 desks. They add 9 more desks. How many desks are in the classroom now?,36+9
Lily has 13 rings. She buys 8 more rings. How many rings does Lily have now?,13+8
A cafe has 15 tables. They add 4 more tables. How many tables does the cafe have now?,15+4
Lucas has 10 oranges. He buys 5 more oranges. How many oranges does Lucas have now?,10+5
A farmer has 25 goats. He buys 7 more goats. How many goats does the farmer have now?,25+7
A bakery has 60 loaves of bread. They bake 20 more loaves. How many loaves of bread does the bakery have now?,60+20
Emma has 22 seashells. She collects 12 more seashells. How many seashells does Emma have now?,22+12
Alex has 17 chocolates. He buys 6 more chocolates. How many chocolates does Alex have now?,17+6
A library has 45 magazines. They receive 10 more magazines. How many magazines does the library have now?,45+10
Olivia has 28 bracelets. She buys 5 more bracelets. How many bracelets does Olivia have now?,28+5
A zoo has 14 elephants. They acquire 2 more elephants. How many elephants does the zoo have now?,14+2
George has 18 action figures. He buys 9 more action figures. How many action figures does George have now?,18+9
A store has 35 hats. They receive 7 more hats. How many hats does the store have now?,35+7
Mia has 26 toy cars. She buys 4 more toy cars. How many toy cars does Mia have now?,26+4
A team has 29 players. They recruit 5 more players. How many players does the team have now?,29+5
